fecha,hora,p_marginal,comEnergia,cPerdidas,cCongestion
2022-01-09,11.5,2484.240761494253,2490.8345833333333,-6.592787356321839,0.0
2022-01-10,11.5,2585.202844827586,2595.5575,-4.124137931034483,-6.230531609195402
2022-01-11,11.5,2490.119353448276,2480.4333333333334,9.686091954022988,0.0
2022-01-12,11.5,2509.6786494252874,2496.002916666667,13.675459770114944,0.0
2022-01-13,11.5,2919.7011637931037,2908.9408333333336,10.759066091954024,0.0
2022-01-14,11.5,2731.7743103448274,2725.11,6.665028735632183,0.0
2022-01-15,11.5,2632.2095689655175,2631.52625,0.6838936781609198,0.0
2022-01-16,11.5,2344.514698275862,2339.9674999999997,4.546465517241379,0.0
2022-01-17,11.5,2706.3210344827585,2699.61875,6.701795977011494,0.0
2022-01-18,11.5,2689.198275862069,2685.730833333333,19.65406609195402,-16.185689655172414
2022-01-19,11.5,2867.6666522988507,2864.8570833333333,2.8102873563218393,0.0
2022-01-20,11.5,2657.2416091954024,2654.765,2.4774712643678156,0.0
2022-01-21,11.5,2760.808031609195,2753.3516666666665,7.455287356321839,0.0
2022-01-22,11.5,2813.846709770115,2811.5683333333336,2.278132183908046,0.0
2022-01-23,11.5,2384.8911781609195,2388.4041666666667,-3.5141091954022983,0.0
2022-01-24,11.5,2827.2480172413793,2781.685,45.5646408045977,0.0
2022-01-25,11.5,2844.2226436781607,2792.23125,51.99087643678161,0.0
2022-01-26,11.5,2822.740617816092,2774.11875,48.6219683908046,0.0
2022-01-27,11.5,2406.9041666666667,2396.838333333333,10.066077586206896,0.0
2022-01-28,11.5,2339.4785057471263,2330.2208333333333,9.258175287356321,0.0
2022-01-29,11.5,2560.786364942529,2556.68125,4.10507183908046,0.0
2022-01-30,11.5,2272.3405555555555,2284.1508333333336,-11.80973611111111,0.0
2022-01-31,11.5,2540.289819444444,2546.64375,-6.354208333333333,0.0
2022-02-01,11.5,2590.787097222222,2590.139583333333,0.6476111111111111,0.0
2022-02-02,11.5,2459.3993333333333,2451.3345833333333,8.06525,0.0
2022-02-03,11.5,2513.9985833333335,2517.503333333333,-3.5044722222222227,0.0
2022-02-04,11.5,2610.662736111111,2610.96875,-0.30480555555555533,0.0
2022-02-05,11.5,2661.2525694444444,2658.61125,2.6410416666666667,0.0
2022-02-06,11.5,2625.6000694444447,2624.9695833333335,0.6312222222222224,0.0
2022-02-07,11.5,2370.0445694444447,2372.0666666666666,-2.0223472222222223,0.0
2022-02-08,11.5,2537.6240555555555,2536.8508333333334,0.7728611111111111,0.0
2022-02-09,11.5,2803.4241527777776,2801.5870833333333,1.8370138888888887,0.0
2022-02-10,11.5,2510.6277638888887,2506.7966666666666,3.8310416666666667,0.0
2022-02-11,11.5,2667.0359166666667,2667.4820833333333,-0.4462083333333333,0.0
2022-02-12,11.5,2611.516375,2605.642083333333,5.874,0.0
2022-02-13,11.5,2494.59,2493.5608333333334,1.029638888888889,0.0
2022-02-14,11.5,2775.6709305555555,2766.9375,8.734597222222222,0.0
2022-02-15,11.5,2895.565236111111,2893.23125,2.334333333333334,0.0
2022-02-16,11.5,3323.112611111111,3323.3149999999996,-0.20222222222222236,0.0
2022-02-17,11.5,3178.6780416666666,3156.9566666666665,21.72215277777778,0.0
2022-02-18,11.5,3402.590625,3393.1620833333336,9.427569444444446,0.0
2022-02-19,11.5,3481.2031944444443,3458.089166666667,23.11351388888889,0.0
2022-02-20,11.5,3451.157888888889,3435.7083333333335,15.449583333333331,0.0
2022-02-21,11.5,3119.20475,3130.7395833333335,-11.535833333333333,0.0
2022-02-22,11.5,3421.265,3427.2320833333333,-5.966888888888889,0.0
2022-02-23,11.5,2910.4738888888887,2909.045833333333,1.4276250000000001,0.0
2022-02-24,11.5,2626.9015416666666,2624.0945833333335,2.807263888888889,0.0
2022-02-25,11.5,2578.31375,2570.6170833333335,7.696875,0.0
2022-02-26,11.5,2534.8806944444445,2533.6320833333334,1.2494027777777776,0.0
2022-02-27,11.5,3388.6059999999998,3409.4816666666666,-20.875861111111114,0.0
2022-02-28,11.5,3915.511444444445,3940.7258333333334,-25.21501388888889,0.0
2022-03-01,11.5,5321.271722222223,5261.203750000001,60.068305555555554,0.0
2022-03-02,11.5,4519.516041666667,4534.29,-14.773791666666668,0.0
2022-03-03,11.5,3639.053222222222,3642.4941666666664,-3.440888888888889,0.0
2022-03-04,11.5,4015.5242222222223,4010.9375,4.587375,0.0
2022-03-05,11.5,3927.9772500000004,3930.78125,-2.8030833333333334,0.0
2022-03-06,11.5,2890.7727499999996,2896.8854166666665,-6.113166666666666,0.0
2022-03-07,11.5,4265.400625,4200.559583333334,64.84118055555555,0.0
2022-03-08,11.5,4145.773833333334,4079.8375,65.93522222222222,0.0
2022-03-09,11.5,4519.749597222222,4447.4875,72.26268055555555,0.0
2022-03-10,11.5,4628.583055555555,4550.730416666666,77.85280555555555,0.0
2022-03-11,11.5,3096.2865138888887,3096.309166666667,-0.02329166666666672,0.0
2022-03-12,11.5,3565.5662222222227,3887.021666666667,34.8675,-356.3225
2022-03-13,11.5,3708.3231805555556,3700.26125,8.062000000000001,0.0
2022-03-14,11.5,4145.050416666666,4137.550833333334,7.5005,0.0
2022-03-15,11.5,4029.258013888889,4020.5366666666664,8.72113888888889,0.0
2022-03-16,11.5,4236.678652777778,4232.37375,4.305000000000001,0.0
