## Muestra el numero de rayos que golpean cada bin
## Nx =40, Ny=40
## x[m], y[m], z[W/m2]
-0.766807, 0.683604, 0.0173579
-0.766807, 0.732175, 0
-0.766807, 0.780747, 0
-0.766807, 0.829318, 0
-0.766807, 0.877889, 0
-0.766807, 0.92646, 0
-0.766807, 0.975031, 0
-0.717129, -0.919243, 0
-0.717129, -0.870672, 0
-0.717129, -0.822101, 0
-0.717129, -0.77353, 0
-0.717129, -0.724959, 0
-0.717129, -0.676387, 0
-0.717129, -0.627816, 0
-0.717129, -0.579245, 0
-0.717129, -0.530674, 0.0173579
-0.717129, -0.482103, 0
-0.717129, -0.433532, 0.0173579
-0.717129, -0.384961, 0.0347158
-0.717129, -0.33639, 0.0347158
-0.717129, -0.287818, 0
-0.717129, -0.239247, 0.225653
-0.717129, -0.190676, 0.24301
-0.717129, -0.142105, 0.295084
-0.717129, -0.0935339, 0.468663
-0.717129, -0.0449627, 0.486021
-0.717129, 0.00360839, 0.885252
-0.717129, 0.0521795, 0.937326
-0.717129, 0.100751, 1.24977
-0.717129, 0.149322, 1.00676
-0.717129, 0.197893, 1.73579
-0.717129, 0.246464, 1.59693
-0.717129, 0.295035, 1.82258
-0.717129, 0.343606, 1.94408
-0.717129, 0.392177, 1.56221
-0.717129, 0.440749, 1.24977
-0.717129, 0.48932, 0.746389
-0.717129, 0.537891, 0.381873
-0.717129, 0.586462, 0.347158
-0.717129, 0.635033, 0.173579
-0.717129, 0.683604, 0.0520737
-0.717129, 0.732175, 0
-0.717129, 0.780747, 0.0173579
-0.717129, 0.829318, 0
-0.717129, 0.877889, 0
-0.717129, 0.92646, 0
-0.717129, 0.975031, 0
-0.66745, -0.919243, 0
-0.66745, -0.870672, 0
-0.66745, -0.822101, 0
-0.66745, -0.77353, 0
-0.66745, -0.724959, 0
-0.66745, -0.676387, 0
-0.66745, -0.627816, 0
-0.66745, -0.579245, 0
-0.66745, -0.530674, 0.0173579
-0.66745, -0.482103, 0.0347158
-0.66745, -0.433532, 0.173579
-0.66745, -0.384961, 0.138863
-0.66745, -0.33639, 0.156221
-0.66745, -0.287818, 0.190937
-0.66745, -0.239247, 0.468663
-0.66745, -0.190676, 0.399231
-0.66745, -0.142105, 0.850536
-0.66745, -0.0935339, 1.19769
-0.66745, -0.0449627, 1.38863
-0.66745, 0.00360839, 1.90937
-0.66745, 0.0521795, 2.16974
-0.66745, 0.100751, 2.6384
-0.66745, 0.149322, 3.33271
-0.66745, 0.197893, 3.66251
-0.66745, 0.246464, 4.21797
-0.66745, 0.295035, 4.14853
-0.66745, 0.343606, 3.64516
-0.66745, 0.392177, 3.6278
-0.66745, 0.440749, 2.6384
-0.66745, 0.48932, 1.92673
-0.66745, 0.537891, 1.54485
-0.66745, 0.586462, 0.6596
-0.66745, 0.635033, 0.381873
-0.66745, 0.683604, 0.121505
-0.66745, 0.732175, 0.0520737
-0.66745, 0.780747, 0.0173579
-0.66745, 0.829318, 0
-0.66745, 0.877889, 0
-0.66745, 0.92646, 0
-0.66745, 0.975031, 0
-0.617771, -0.919243, 0
-0.617771, -0.870672, 0
-0.617771, -0.822101, 0
-0.617771, -0.77353, 0
-0.617771, -0.724959, 0
-0.617771, -0.676387, 0
-0.617771, -0.627816, 0.0347158
-0.617771, -0.579245, 0.0173579
-0.617771, -0.530674, 0.0694315
-0.617771, -0.482103, 0.138863
-0.617771, -0.433532, 0.225653
-0.617771, -0.384961, 0.399231
-0.617771, -0.33639, 0.607526
-0.617771, -0.287818, 1.09355
-0.617771, -0.239247, 1.18034
-0.617771, -0.190676, 1.33656
-0.617771, -0.142105, 2.23917
-0.617771, -0.0935339, 2.79462
-0.617771, -0.0449627, 3.40215
-0.617771, 0.00360839, 4.14853
-0.617771, 0.0521795, 4.70399
-0.617771, 0.100751, 5.86697
-0.617771, 0.149322, 6.85636
-0.617771, 0.197893, 7.34239
-0.617771, 0.246464, 7.11673
-0.617771, 0.295035, 7.74162
-0.617771, 0.343606, 7.23824
-0.617771, 0.392177, 6.52657
-0.617771, 0.440749, 4.80813
-0.617771, 0.48932, 3.55837
-0.617771, 0.537891, 2.23917
-0.617771, 0.586462, 1.21505
-0.617771, 0.635033, 0.468663
-0.617771, 0.683604, 0.312442
-0.617771, 0.732175, 0.0867894
-0.617771, 0.780747, 0.0173579
-0.617771, 0.829318, 0.0173579
-0.617771, 0.877889, 0
-0.617771, 0.92646, 0
-0.617771, 0.975031, 0
-0.568093, -0.919243, 0
-0.568093, -0.870672, 0
-0.568093, -0.822101, 0
-0.568093, -0.77353, 0
-0.568093, -0.724959, 0
-0.568093, -0.676387, 0
-0.568093, -0.627816, 0.0347158
-0.568093, -0.579245, 0.0694315
-0.568093, -0.530674, 0.24301
-0.568093, -0.482103, 0.347158
-0.568093, -0.433532, 0.711673
-0.568093, -0.384961, 0.919968
